,architecture,method-family,method,val,mae,inf. time
98,ForceNet,atom-embeddings,tag-embed,cat,0.616,168.646
99,ForceNet,atom-embeddings,tag-embed,both,0.617,168.646
100,ForceNet,atom-embeddings,phys-embed,id,0.657,172.049
101,ForceNet,atom-embeddings,phys-embed,ad,0.702,172.049
102,ForceNet,atom-embeddings,phys-embed,cat,0.626,172.049
103,ForceNet,atom-embeddings,phys-embed,both,0.627,172.049
104,ForceNet,atom-embeddings,l-phys-embed,id,0.654,167.981
105,ForceNet,atom-embeddings,l-phys-embed,ad,0.734,167.981
106,ForceNet,atom-embeddings,l-phys-embed,cat,0.626,167.981
107,ForceNet,atom-embeddings,l-phys-embed,both,0.65,167.981
108,ForceNet,atom-embeddings,pg,id,0.644,170.701
109,ForceNet,atom-embeddings,pg,ad,0.669,170.701
110,ForceNet,atom-embeddings,pg,cat,0.618,170.701
111,ForceNet,atom-embeddings,pg,both,0.603,170.701
112,ForceNet,atom-embeddings,All,id,0.622,169.236
113,ForceNet,atom-embeddings,All,ad,0.68,169.236
114,ForceNet,atom-embeddings,All,cat,0.603,169.236
115,ForceNet,atom-embeddings,All,both,0.615,169.236
116,ForceNet,graph-creation,remove-tag-0,id,0.637,17.065
117,ForceNet,graph-creation,remove-tag-0,ad,0.668,17.065
118,ForceNet,graph-creation,remove-tag-0,cat,0.611,17.065
119,ForceNet,graph-creation,remove-tag-0,both,0.598,17.065
120,ForceNet,graph-creation,sn-graph,id,0.64,55.309
121,ForceNet,graph-creation,sn-graph,ad,0.676,55.309
122,ForceNet,graph-creation,sn-graph,cat,0.617,55.309
123,ForceNet,graph-creation,sn-graph,both,0.607,55.309
124,ForceNet,graph-creation,sn-atom-type,id,0.641,70.557
125,ForceNet,graph-creation,sn-atom-type,ad,0.672,70.557
126,ForceNet,graph-creation,sn-atom-type,cat,0.616,70.557
127,ForceNet,graph-creation,sn-atom-type,both,0.601,70.557
128,ForceNet,energy-head,w-init,id,0.639,170.719
129,ForceNet,energy-head,w-init,ad,0.687,170.719
130,ForceNet,energy-head,w-init,cat,0.611,170.719
131,ForceNet,energy-head,w-init,both,0.666,170.719
132,ForceNet,energy-head,w-final,id,0.655,170.72
133,ForceNet,energy-head,w-final,ad,0.716,170.72
134,ForceNet,energy-head,w-final,cat,0.627,170.72
135,ForceNet,energy-head,w-final,both,0.644,170.72
136,ForceNet,energy-head,graclus,id,0.622,172.494
137,ForceNet,energy-head,graclus,ad,0.722,172.494
138,ForceNet,energy-head,graclus,cat,0.634,172.494
139,ForceNet,energy-head,graclus,both,0.646,172.494
140,ForceNet,energy-head,hoscpool,id,0.621,202.034
141,ForceNet,energy-head,hoscpool,ad,0.703,202.034
142,ForceNet,energy-head,hoscpool,cat,0.638,202.034
143,ForceNet,energy-head,hoscpool,both,0.638,202.034
144,SchNet,baseline,baseline,id,0.637,15.04
145,SchNet,baseline,baseline,ad,0.734,15.04
146,SchNet,baseline,baseline,cat,0.661,15.04
147,SchNet,baseline,baseline,both,0.703,15.04
148,D++,baseline,baseline,id,0.571,110.11
149,D++,baseline,baseline,ad,0.722,110.11
150,D++,baseline,baseline,cat,0.561,110.11
151,D++,baseline,baseline,both,0.661,110.11
152,ForceNet,baseline,baseline,id,0.658,167.08
153,ForceNet,baseline,baseline,ad,0.701,167.08
154,ForceNet,baseline,baseline,cat,0.632,167.08
155,ForceNet,baseline,baseline,both,0.628,167.08
